Date,Time,Open,High,Low,Close,Volume
2024.11.21,21:00,2672.41,2673.44,2667.86,2669.64,3684
2024.11.21,20:00,2671.85,2673.02,2669.03,2672.41,4287
2024.11.21,19:00,2664.67,2672.82,2661.78,2671.79,4899
2024.11.21,18:00,2667.8,2669.69,2661.32,2664.69,5634
2024.11.21,17:00,2664.77,2670.52,2664.42,2667.75,5763
2024.11.21,16:00,2665.53,2671.56,2661.49,2664.9,5913
2024.11.21,15:00,2663.18,2667.64,2660.46,2665.44,5835
2024.11.21,14:00,2671.59,2671.81,2663.05,2663.31,4335
2024.11.21,13:00,2669.93,2673.47,2668.31,2671.51,4113
2024.11.21,12:00,2668.84,2670.31,2665.09,2669.88,3743
2024.11.21,11:00,2668.81,2671.66,2663.53,2668.83,4837
2024.11.21,10:00,2662.92,2670.32,2662.03,2668.85,4606
2024.11.21,9:00,2661.15,2664.48,2660.07,2663.08,4067
2024.11.21,8:00,2656.93,2662.19,2656.59,2661.39,4518
2024.11.21,7:00,2657,2658.14,2654.63,2656.87,3797
2024.11.21,6:00,2656.91,2658.93,2656.86,2656.98,2311
2024.11.21,5:00,2653.6,2657.14,2650.38,2656.92,3507
2024.11.21,4:00,2653.45,2658.23,2652.52,2653.66,3938
2024.11.21,3:00,2658.61,2660.41,2651.81,2653.29,4852
2024.11.21,2:00,2652.21,2658.82,2651.82,2658.43,2902
2024.11.21,1:00,2649.8,2652.94,2648.63,2652.22,1536
2024.11.20,23:00,2648.94,2650.5,2648.04,2650.08,1686
2024.11.20,22:00,2650.78,2651.12,2647.3,2648.92,3648
2024.11.20,21:00,2648.65,2653.04,2648.6,2650.83,3704
2024.11.20,20:00,2651.91,2652.09,2645.4,2648.63,4505
2024.11.20,19:00,2650.66,2655.35,2649.27,2651.84,4699
2024.11.20,18:00,2648.83,2650.86,2646.14,2650.65,5186
2024.11.20,17:00,2643.15,2648.88,2640.85,2648.88,5477
2024.11.20,16:00,2636.09,2646.37,2634.18,2643.18,5559
2024.11.20,15:00,2631.83,2640.4,2631.23,2636.06,5408
2024.11.20,14:00,2628.09,2632.34,2627.07,2631.78,4610
2024.11.20,13:00,2625.09,2628.15,2621.5,2628.11,4196
2024.11.20,12:00,2621.88,2626.2,2620.94,2625.09,4067
2024.11.20,11:00,2624.13,2625.62,2621.03,2621.91,4407
2024.11.20,10:00,2621.45,2624.44,2618.91,2624.14,4633
2024.11.20,9:00,2629.3,2630.18,2621.3,2621.59,4580
2024.11.20,8:00,2636.65,2637.05,2628.65,2629.56,4862
2024.11.20,7:00,2636.51,2638.5,2634.93,2636.84,3862
2024.11.20,6:00,2637.99,2638.79,2636.16,2636.6,2322
2024.11.20,5:00,2640.14,2641.2,2637.64,2637.95,3387
2024.11.20,4:00,2639.61,2641.75,2638.36,2640.17,4045
2024.11.20,3:00,2637.89,2641.48,2635.78,2639.57,4919
2024.11.20,2:00,2635.17,2639.05,2634.78,2637.82,2742
2024.11.20,1:00,2632,2635.55,2631.79,2635.18,1651
2024.11.19,23:00,2633.87,2633.93,2630.61,2632.11,1541
2024.11.19,22:00,2630.69,2634.57,2630.41,2633.76,2586
2024.11.19,21:00,2630.24,2631.52,2628.84,2630.7,3353
2024.11.19,20:00,2628.14,2630.36,2626.32,2630.11,3943
2024.11.19,19:00,2626.32,2633.08,2625.66,2628.1,4546
2024.11.19,18:00,2624.53,2628.36,2622.41,2626.47,5325
2024.11.19,17:00,2623.27,2628.63,2621,2624.48,5878
2024.11.19,16:00,2635.18,2636.81,2622.89,2623.53,6282
2024.11.19,15:00,2639.25,2639.4,2629.27,2635.25,6013
2024.11.19,14:00,2629.57,2639.33,2628.8,2639.2,4827
2024.11.19,13:00,2635.05,2635.97,2629.06,2629.58,4357
2024.11.19,12:00,2629.95,2636.49,2629.92,2635.05,4526
2024.11.19,11:00,2626.09,2634.44,2625.29,2630.28,5628
2024.11.19,10:00,2619.02,2627.01,2618.7,2626.34,5162
2024.11.19,9:00,2625.12,2625.21,2617.73,2619.08,4382
2024.11.19,8:00,2622.57,2626.61,2621.37,2625.15,4582
2024.11.19,7:00,2622.8,2623.39,2620.85,2622.55,3707
2024.11.19,6:00,2624.51,2625.1,2621.49,2622.9,2961
2024.11.19,5:00,2622.44,2625.6,2621.25,2624.5,3851
2024.11.19,4:00,2615.6,2624.11,2615.6,2622.51,4598
2024.11.19,3:00,2613.53,2617.78,2611.53,2615.62,5041
2024.11.19,2:00,2612.67,2613.71,2610.95,2613.34,2222
2024.11.19,1:00,2611.74,2613.08,2610.23,2612.67,1086
2024.11.18,23:00,2610.33,2612.26,2609.87,2611.72,1305
2024.11.18,22:00,2609.77,2611.53,2608.28,2610.26,2956
2024.11.18,21:00,2611.23,2612.57,2608.37,2609.8,3348
2024.11.18,20:00,2610.4,2612.02,2607.67,2611.12,3904
2024.11.18,19:00,2611.57,2611.94,2607.37,2610.44,4309
2024.11.18,18:00,2613.06,2615.02,2609.41,2611.56,5012
2024.11.18,17:00,2608.45,2613.37,2605.9,2612.95,5507
2024.11.18,16:00,2603.96,2610.16,2602.77,2608.13,5758
2024.11.18,15:00,2595.1,2604.98,2592.95,2603.88,5649
2024.11.18,14:00,2594.39,2597.12,2590.38,2595.15,4525
2024.11.18,13:00,2594.09,2595.39,2590.56,2594.44,4105
2024.11.18,12:00,2595.78,2596.7,2589.55,2594.07,4327
2024.11.18,11:00,2585.53,2597.26,2583.79,2595.69,4979
2024.11.18,10:00,2582.53,2590.01,2582.08,2585.65,4912
2024.11.18,9:00,2586,2587.08,2581.71,2582.9,4133
2024.11.18,8:00,2585.48,2587.65,2580.41,2585.95,4867
2024.11.18,7:00,2592.21,2592.31,2585.08,2585.56,4174
2024.11.18,6:00,2589.84,2593.11,2589.25,2592.27,2523
2024.11.18,5:00,2591.1,2592.49,2587.78,2589.85,3673
2024.11.18,4:00,2586.92,2594.99,2586.81,2591.14,4879
2024.11.18,3:00,2576.56,2597.27,2576.56,2587.01,5998
2024.11.18,2:00,2571.35,2577.17,2569.87,2576.56,3367
2024.11.18,1:00,2564.94,2575.56,2564.79,2571.4,3309
2024.11.15,23:00,2562.17,2562.41,2560.94,2561.78,1183
2024.11.15,22:00,2563.82,2563.86,2559.78,2562.22,4146
2024.11.15,21:00,2567.58,2568.01,2562.76,2563.86,3812
2024.11.15,20:00,2562.98,2567.74,2559.45,2567.48,4565
2024.11.15,19:00,2562.17,2564.75,2560.15,2562.92,4919
2024.11.15,18:00,2570.76,2573.31,2562.05,2562.14,5804
2024.11.15,17:00,2572.89,2576.05,2565.11,2570.74,6226
2024.11.15,16:00,2565.21,2575.56,2564.32,2572.93,6313
2024.11.15,15:00,2569.37,2575.67,2561.31,2565.32,6383
2024.11.15,14:00,2570.7,2571.05,2565.49,2569.21,4501
2024.11.15,13:00,2567.72,2573.34,2566.62,2570.78,4611
2024.11.15,12:00,2564,2570.42,2563.04,2567.93,4685
2024.11.15,11:00,2566.82,2568.88,2563.91,2564,4492
2024.11.15,10:00,2563.74,2568.92,2560.92,2566.85,4951
2024.11.15,9:00,2561.33,2564.82,2559.33,2563.73,4266
2024.11.15,8:00,2559.95,2563.57,2554.58,2561.39,5119
2024.11.15,7:00,2567.04,2567.23,2559.78,2559.99,4043
2024.11.15,6:00,2567.69,2569.49,2567.04,2567.08,2383
