datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-05 11:00:00,1.09076,1.09306,1.09027,1.09128,10028,1.0936435,1.0943285,1.0962654,-0.00060007593,-0.00014966441,-0.00045041152,13.469198,15.819756,8.768085,1.0941085,1.0967867,1.0914302,0.0010128572,1.09293,1.09375,1.09334,1.09324,1.1000156
2024-01-05 12:00:00,1.09128,1.09139,1.09037,1.09128,7124,1.0934618,1.094209,1.0961667,-0.0006981086,-0.00025935326,-0.00043875535,15.529401,15.72297,15.1422615,1.0939455,1.0968962,1.0909948,0.0010385715,1.09284,1.09375,1.093295,1.09324,1.0986513
2024-01-05 13:00:00,1.09128,1.09176,1.091,1.09142,5106,1.0933048,1.0940995,1.0960727,-0.0007557911,-0.00035864083,-0.00039715026,18.928623,16.791521,23.202827,1.0937405,1.0967983,1.0906827,0.0010457142,1.092505,1.09375,1.0931275,1.09324,1.0974779
2024-01-05 14:00:00,1.09143,1.09209,1.09136,1.09177,8088,1.0931866,1.0940082,1.0959876,-0.0007644507,-0.0004398028,-0.00032464787,25.57245,19.718498,37.280354,1.0935485,1.0965942,1.0905027,0.00103,1.0922,1.093405,1.0928025,1.09324,1.0964688
2024-01-05 15:00:00,1.09177,1.09281,1.08769,1.09215,35389,1.093107,1.0939354,1.0959115,-0.0007322102,-0.0004982843,-0.00023392591,41.34024,26.925745,70.16923,1.0934035,1.0964243,1.0903827,0.0013564286,1.09075,1.092115,1.0914325,1.09246,1.095601
2024-01-05 16:00:00,1.09217,1.0955,1.09216,1.09495,33238,1.0932487,1.0939751,1.0958924,-0.00047524442,-0.0004936763,1.8431869e-05,58.546074,37.465855,100.70651,1.0934165,1.0964627,1.0903703,0.0015428571,1.091595,1.092115,1.091855,1.09246,1.08769
2024-01-05 17:00:00,1.09496,1.09988,1.09496,1.09783,42236,1.0936011,1.0941263,1.0959308,-3.875851e-05,-0.00040269273,0.00036393423,66.75836,47.230022,105.81504,1.0935735,1.0971701,1.0899769,0.0018521429,1.093785,1.093785,1.093785,1.093785,1.08769
2024-01-05 18:00:00,1.09783,1.09808,1.09528,1.09561,19645,1.0937556,1.0941845,1.0959245,0.00012656531,-0.00029684114,0.00042340645,66.162674,53.540905,91.4062,1.093608,1.0972716,1.0899445,0.0019971428,1.093785,1.093785,1.093785,1.093785,1.0881776
2024-01-05 19:00:00,1.0956,1.09565,1.09429,1.09462,16332,1.0938221,1.0942016,1.0958986,0.00017567583,-0.00020233775,0.00037801356,63.058407,56.713406,75.748405,1.0936215,1.0972985,1.0899445,0.0020335715,1.093785,1.093785,1.093785,1.093785,1.0886457
2024-01-05 20:00:00,1.09461,1.09563,1.09352,1.0954,12942,1.0939435,1.0942485,1.0958887,0.00027437296,-0.000106995605,0.00038136856,63.12179,58.849533,71.666306,1.093656,1.0973885,1.0899234,0.0021464287,1.093785,1.093785,1.093785,1.093785,1.0890951
2024-01-05 21:00:00,1.0954,1.09598,1.09429,1.09452,10517,1.0939878,1.0942591,1.0958617,0.00027837357,-2.992177e-05,0.00030829533,60.757706,59.48559,63.301933,1.0936505,1.0973773,1.0899236,0.0022364287,1.093785,1.093785,1.093785,1.093785,1.0895264
2024-01-05 22:00:00,1.09452,1.09473,1.09353,1.09393,8195,1.0939834,1.0942463,1.0958234,0.00023127007,2.2316597e-05,0.00020895347,57.568302,58.846497,55.01192,1.093593,1.097262,1.089924,0.00223,1.093785,1.093785,1.093785,1.093785,1.0899405
2024-01-05 23:00:00,1.09386,1.09417,1.09363,1.09408,2920,1.0939908,1.0942397,1.095789,0.00020369588,5.8592454e-05,0.00014510342,55.852207,57.8484,51.859825,1.093539,1.0971421,1.0899359,0.0021892858,1.093785,1.093785,1.093785,1.093785,1.0903382
2024-01-08 00:00:00,1.09331,1.09453,1.09326,1.09445,787,1.0940262,1.094248,1.0957624,0.00020928652,8.873126e-05,0.000120555254,47.122543,54.273113,32.8214,1.0935276,1.0971167,1.0899383,0.0021192858,1.09602,1.093785,1.0949025,1.093785,1.0907198
2024-01-08 01:00:00,1.09448,1.09462,1.09346,1.09415,2591,1.0940356,1.0942441,1.0957304,0.00018734999,0.00010845501,7.8894984e-05,35.896397,48.14754,11.39411,1.093539,1.097135,1.089943,0.0020028572,1.09657,1.093785,1.0951775,1.093785,1.0910863
2024-01-08 02:00:00,1.09415,1.09493,1.09399,1.09484,2747,1.0940975,1.0942675,1.0957128,0.00022307095,0.0001313782,9.169275e-05,34.857628,43.71757,17.13774,1.0935955,1.097238,1.0899531,0.0019971428,1.09567,1.093785,1.0947275,1.093785,1.091438
2024-01-08 03:00:00,1.09483,1.0953,1.09468,1.09479,4238,1.0941508,1.094288,1.0956945,0.00024452672,0.00015400791,9.051883e-05,41.98842,43.141186,39.68288,1.0936486,1.0973299,1.0899671,0.001987143,1.09462,1.093785,1.0942025,1.093785,1.0917757
2024-01-08 04:00:00,1.09479,1.09479,1.09359,1.09371,3166,1.0941169,1.0942653,1.0956553,0.00017239634,0.00015768559,1.4710748e-05,33.506985,39.929787,20.661383,1.0936944,1.0973536,1.0900353,0.0020207143,1.09462,1.093785,1.0942025,1.093785,1.0920999
2024-01-08 05:00:00,1.09371,1.09393,1.0931,1.0933,3494,1.0940541,1.0942276,1.0956086,8.121274e-05,0.00014239103,-6.117828e-05,24.652803,34.83746,4.2834964,1.0937425,1.0973517,1.0901333,0.0017142857,1.09454,1.093785,1.0941625,1.093785,1.092411
2024-01-08 06:00:00,1.09329,1.09373,1.09303,1.0934,2696,1.0940038,1.094195,1.0955648,1.6824308e-05,0.000117277676,-0.00010045337,21.86839,30.514435,4.5762973,1.093874,1.0972084,1.0905397,0.001525,1.094165,1.093785,1.093975,1.093785,1.0927098
2024-01-08 07:00:00,1.0934,1.09376,1.09317,1.09375,3434,1.0939842,1.0941776,1.095529,-5.893973e-06,9.264335e-05,-9.853732e-05,25.151613,28.726828,18.001184,1.0939975,1.0971024,1.0908927,0.001215,1.094165,1.093785,1.093975,1.093785,1.0929966
2024-01-08 08:00:00,1.09375,1.09467,1.09361,1.09455,4756,1.0940278,1.0941921,1.0955095,4.0191637e-05,8.2153005e-05,-4.196137e-05,39.08786,32.180504,52.90257,1.094161,1.096996,1.091326,0.0010907142,1.094165,1.093785,1.093975,1.093785,1.09303
2024-01-08 09:00:00,1.09455,1.09523,1.09394,1.09453,9541,1.0940664,1.0942055,1.0954902,7.424513e-05,8.057143e-05,-6.3263024e-06,48.085007,37.482006,69.29101,1.0943165,1.0968429,1.0917902,0.0010857143,1.094165,1.093785,1.093975,1.093785,1.09317
2024-01-08 10:00:00,1.09453,1.09455,1.09294,1.09338,10842,1.0940136,1.0941731,1.0954484,8.341225e-06,6.612539e-05,-5.7784164e-05,38.27136,37.745125,39.32383,1.094397,1.0966717,1.0921222,0.00105,1.09412,1.093785,1.0939525,1.093785,1.09988
